Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
100289__MOSTOSFM,,,,WW,CMHZ,Cap Odessa Moonstone One Size Fits Most,EACH,CARHARTT,0,0,S,I,U,
100289__NAVYOSFM,,,,WW,CMHZ,Cap Odessa Navy One Size Fits Most,EACH,CARHARTT,4,4,S,A,U,889192762459
100289__POBLOSFM,,,,WW,CMHZ,Cap Odessa Powder Blue One Size Fits Most,EACH,CARHARTT,5,5,S,A,U,195836058711
100289__TAN_OSFM,,,,WW,CMHZ,Cap Odessa Tan Beige One Size Fits Most,EACH,CARHARTT,0,0,S,I,U,886859107905
1002Z___ZER2082R,,,,WW,CMTD,Pant Cotton Drill Ref Tape Ertech Navy 82 Regular,EACH,WORKIT,0,0,S,A,U,
1002Z___ZER2112R,,,,WW,CMTD,Pant Cotton Drill Ref Tape Ertech Navy 112 Regular,EACH,WORKIT,0,0,S,A,U,
1002____NAVY112R,,,,WW,CMTD,Pant Cotton Drill Ref Tape Navy 112 Regular,EACH,WORKIT,3,3,S,A,U,
100301__BLCK__OS,,,,WW,CMAL,Trade Backpack Black One Size,EACH,CARHARTT,0,0,S,A,U,819062019161
100410__HEGR000L,,,,WW,CMEZ,Carhartt T-Shirt S/S Force Heather Grey Large,EACH,CARHARTT,0,0,S,A,U,886859053523
100410__HEGR000M,,,,WW,CMEZ,Carhartt T-Shirt S/S Force Heather Grey Medium,EACH,CARHARTT,0,0,S,A,U,886859053516
100410__HEGR000S,,,,WW,CMEZ,Carhartt T-Shirt S/S Force Heather Grey Small,EACH,CARHARTT,0,0,S,A,U,886859053509
100410__HEGR00XL,,,,WW,CMEZ,Carhartt T-Shirt S/S Force Heather Grey XL,EACH,CARHARTT,0,0,S,A,U,886859053530
100410__HEGR02XL,,,,WW,CMEZ,Carhartt T-Shirt S/S Force Heather Grey 2XL,EACH,CARHARTT,0,0,S,A,U,886859053547
