Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
79811N__NAVYOSFA,,,,WW,CMHZ,Classic Logo Cuff Beanie Navy One Size Fits All,EACH,HELHAN,0,0,S,I,U,,0,0,0,0
79811___,,,,WW,CMHZ,Classic Logo Cuff Beanie,EACH,HELHAN,0,0,Z,N,U,,0,0,0,0
79811___ARMYOSFA,,,,WW,CMHZ,Classic Logo Cuff Beanie Army Green One Size Fits All,EACH,HELHAN,690,677,S,A,U,7040056056807,10,677,0,3
79811___BLCKOSFA,,,,WW,CMHZ,Classic Logo Cuff Beanie Black One Size Fits All,EACH,HELHAN,1253,1242,S,A,U,7040056056869,11,1242,0,13
79811___DAOROSFA,,,,WW,CMHZ,Classic Logo Cuff Beanie Dark Orange One Size Fits All,EACH,HELHAN,0,0,S,I,U,7040056056883,0,0,0,0
79811___GRMEOSFA,,,,WW,CMHZ,Classic Logo Cuff Beanie Grey Melange One Size Fits All,EACH,HELHAN,0,0,S,I,U,7040056056845,0,0,0,0
79811___NAVYOSFA,,,,WW,CMHZ,Classic Logo Cuff Beanie Navy One Size Fits All,EACH,HELHAN,1607,1576,S,A,U,7040056056821,10,1576,0,3
79865,,,,WW,CMJV,Visitec Jacket Elements 5 in 1 Yellow/Navy V7000-Y/N S,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79866,,,,WW,CMJV,Visitec Jacket Elements 5 in 1 Yellow/Navy V7000-Y/N M,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79867,,,,WW,CMJV,Visitec Jacket Elements 5 in 1 Yellow/Navy V7000-Y/N L,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79868,,,,WW,CMJV,Visitec Jacket Elements 5 in 1 Yellow/Navy V7000-Y/N XL,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79869,,,,WW,CMJV,Visitec Jacket Elements 5 in 1 Yellow/Navy V7000-Y/N 2XL,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79870,,,,WW,CMJV,Visitec Jacket Elements 5 in 1 Yellow/Navy V7000-Y/N 3XL,EACH,VISITEC,0,0,S,O,,,0,0,0,0
79871,,,,WW,CMJV,Visitec Jacket Elements 5 in 1 Yellow/Navy V7000-Y/N 4XL,EACH,VISITEC,0,0,S,O,,,0,0,0,0
