Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
19900080,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900081,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900082,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900083,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900087,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900088,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900090,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900091,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900092,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900093,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900094,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900095,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900096,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900097,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900098,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900099,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900100,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900101,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900102,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900103,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
19900104,,,,SE,XSER,Item Code Reserved for New Zealand DO NOT USE,,RSEA,0,0,S,I,,,0,0,0,0
