Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
E1221___BLCK087R,,,,WW,CMLO,Light Weight Short Shorts Black 87 Regular,EACH,ELEVEN,1,1,S,C,U,9336179102629
E1221___BLCK092R,,,,WW,CMLO,Light Weight Short Shorts Black 92 Regular,EACH,ELEVEN,4,4,S,C,U,9336179102636
E1221___BLCK097R,,,,WW,CMLO,Light Weight Short Shorts Black 97 Regular,EACH,ELEVEN,3,3,S,C,U,9336179102643
E1221___BLCK102R,,,,WW,CMLO,Light Weight Short Shorts Black 102 Regular,EACH,ELEVEN,6,6,S,C,U,9336179102650
E1221___BLCK107R,,,,WW,CMLO,Light Weight Short Shorts Black 107 Regular,EACH,ELEVEN,4,4,S,C,U,9336179102667
E1221___BLCK112R,,,,WW,CMLO,Light Weight Short Shorts Black 112 Regular,EACH,ELEVEN,2,2,S,C,U,9336179102674
E1221___KHKI077R,,,,WW,CMLO,Light Weight Short Shorts Khaki 77 Regular,EACH,ELEVEN,0,0,S,I,U,9336179102681
E1221___KHKI082R,,,,WW,CMLO,Light Weight Short Shorts Khaki 82 Regular,EACH,ELEVEN,0,0,S,I,U,9336179102698
E1221___KHKI087R,,,,WW,CMLO,Light Weight Short Shorts Khaki 87 Regular,EACH,ELEVEN,0,0,S,I,U,9336179102704
E1221___KHKI092R,,,,WW,CMLO,Light Weight Short Shorts Khaki 92 Regular,EACH,ELEVEN,0,0,S,I,U,9336179102711
E1221___KHKI097R,,,,WW,CMLO,Light Weight Short Shorts Khaki 97 Regular,EACH,ELEVEN,0,0,S,O,U,9336179102728
E1221___KHKI102R,,,,WW,CMLO,Light Weight Short Shorts Khaki 102 Regular,EACH,ELEVEN,2,2,S,C,U,9336179102735
E1221___KHKI107R,,,,WW,CMLO,Light Weight Short Shorts Khaki 107 Regular,EACH,ELEVEN,0,0,S,O,U,9336179102742
E1221___KHKI112R,,,,WW,CMLO,Light Weight Short Shorts Khaki 112 Regular,EACH,ELEVEN,0,0,S,O,U,9336179102759
E1221___NAVY077R,,,,WW,CMLO,Light Weight Short Shorts Navy 77 Regular,EACH,ELEVEN,1,1,S,C,U,9336179102766
E1221___NAVY082R,,,,WW,CMLO,Light Weight Short Shorts Navy 82 Regular,EACH,ELEVEN,2,2,S,C,U,9336179102773
E1221___NAVY087R,,,,WW,CMLO,Light Weight Short Shorts Navy 87 Regular,EACH,ELEVEN,0,0,S,I,U,9336179102780
E1221___NAVY092R,,,,WW,CMLO,Light Weight Short Shorts Navy 92 Regular,EACH,ELEVEN,2,2,S,C,U,9336179102797
E1221___NAVY097R,,,,WW,CMLO,Light Weight Short Shorts Navy 97 Regular,EACH,ELEVEN,5,5,S,C,U,9336179102803
E1221___NAVY102R,,,,WW,CMLO,Light Weight Short Shorts Navy 102 Regular,EACH,ELEVEN,2,2,S,C,U,9336179102810
E1221___NAVY107R,,,,WW,CMLO,Light Weight Short Shorts Navy 107 Regular,EACH,ELEVEN,0,0,S,O,U,9336179102827
E1221___NAVY112R,,,,WW,CMLO,Light Weight Short Shorts Navy 112 Regular,EACH,ELEVEN,3,3,S,C,U,9336179102834
E1222___,,,,WW,CMLO,Trigger Short,EACH,ELEVEN,0,0,Z,A,U,E1222
E1222___BKDC0077,,,,WW,CMLO,Trigger Short Black/Dark Charcoal 77,EACH,ELEVEN,100,98,S,A,U,9336179111454
E1222___BKDC0082,,,,WW,CMLO,Trigger Short Black/Dark Charcoal 82,EACH,ELEVEN,321,321,S,A,U,9336179111478
E1222___BKDC0087,,,,WW,CMLO,Trigger Short Black/Dark Charcoal 87,EACH,ELEVEN,317,313,S,A,U,9336179111492
E1222___BKDC0092,,,,WW,CMLO,Trigger Short Black/Dark Charcoal 92,EACH,ELEVEN,121,121,S,A,U,9336179111515
E1222___BKDC0097,,,,WW,CMLO,Trigger Short Black/Dark Charcoal 97,EACH,ELEVEN,81,80,S,A,U,9336179111539
E1222___BKDC0102,,,,WW,CMLO,Trigger Short Black/Dark Charcoal 102,EACH,ELEVEN,90,90,S,A,U,9336179111553
E1222___BKDC0107,,,,WW,CMLO,Trigger Short Black/Dark Charcoal 107,EACH,ELEVEN,51,51,S,A,U,9336179111577
E1222___BKDC0112,,,,WW,CMLO,Trigger Short Black/Dark Charcoal 112,EACH,ELEVEN,58,58,S,A,U,9336179112451
E1222___KHKI0077,,,,WW,CMLO,Trigger Short Khaki 77,EACH,ELEVEN,257,252,S,A,U,9336179112475
E1222___KHKI0082,,,,WW,CMLO,Trigger Short Khaki 82,EACH,ELEVEN,451,445,S,A,U,9336179113106
E1222___KHKI0087,,,,WW,CMLO,Trigger Short Khaki 87,EACH,ELEVEN,418,415,S,A,U,9336179112512
E1222___KHKI0092,,,,WW,CMLO,Trigger Short Khaki 92,EACH,ELEVEN,213,210,S,A,U,9336179112536
E1222___KHKI0097,,,,WW,CMLO,Trigger Short Khaki 97,EACH,ELEVEN,248,248,S,A,U,9336179112550
E1222___KHKI0102,,,,WW,CMLO,Trigger Short Khaki 102,EACH,ELEVEN,174,173,S,A,U,9336179112574
E1222___KHKI0107,,,,WW,CMLO,Trigger Short Khaki 107,EACH,ELEVEN,105,104,S,A,U,9336179112598
E1222___KHKI0112,,,,WW,CMLO,Trigger Short Khaki 112,EACH,ELEVEN,90,90,S,A,U,9336179112611
E1222___NAVY0077,,,,WW,CMLO,Trigger Short Navy 77,EACH,ELEVEN,176,165,S,A,U,9336179112635
E1222___NAVY0082,,,,WW,CMLO,Trigger Short Navy 82,EACH,ELEVEN,351,340,S,A,U,9336179112659
E1222___NAVY0087,,,,WW,CMLO,Trigger Short Navy 87,EACH,ELEVEN,323,265,S,A,U,9336179112673
E1222___NAVY0092,,,,WW,CMLO,Trigger Short Navy 92,EACH,ELEVEN,237,219,S,A,U,9336179112697
E1222___NAVY0097,,,,WW,CMLO,Trigger Short Navy 97,EACH,ELEVEN,163,151,S,A,U,9336179112710
E1222___NAVY0102,,,,WW,CMLO,Trigger Short Navy 102,EACH,ELEVEN,122,108,S,A,U,9336179112734
E1222___NAVY0107,,,,WW,CMLO,Trigger Short Navy 107,EACH,ELEVEN,91,88,S,A,U,9336179112758
E1222___NAVY0112,,,,WW,CMLO,Trigger Short Navy 112,EACH,ELEVEN,85,85,S,A,U,9336179112772
E1222___TARM0077,,,,WW,CMLO,Trigger Short Tarmac 77,EACH,ELEVEN,113,113,S,C,U,9336179112802
E1222___TARM0082,,,,WW,CMLO,Trigger Short Tarmac 82,EACH,ELEVEN,210,210,S,C,U,9336179112826
