Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
900000,,,,WW,CMAS,***NLA*** Telas Bamboo Socks Extra Thick Navy  TBS01 4-6,EACH,BAMTEX,0,0,S,I,,9336179019774,0,0,0,0
9000001,,,,,HIRE,Smorgon Steel PIPE 350 XLG 25NBx2mm DIA 2.2m LEN PXD25C,MTR,HKEENG,17211,17211,S,O,,,0,17211,0,0
9000002,,,,,HIRE,Smorgon Steel PIPE 320 XLG 25NBx2mm DIA 2.40 LEN,MTR,ORROPE,12978,12978,S,O,,,0,12978,0,0
9000003,,,,RS,RBEZ,Smorgon Steel Hinge Double 25NB PST 25NB GTE GAL E DH2525,EACH,FENDIS,0,0,S,O,,,0,0,0,0
9000004,,,,RS,RBEZ,Smorgon Steel Chainwire 60x2.24SG KK 2000x1800mm CSSK2018,ROLL,HKEENG,0,0,S,O,,,0,0,0,0
9000005,,,,RS,RBEZ,Smorgon Steel Wire HG SOFT 1.57mm 15Kg 1000m WC157H15,ROLL,SMOARC,0,0,S,O,,,0,0,0,0
9000006,,,,RS,RBSA,***NLA*** Whites Wires Rod Tie -175mm Galvanised 2000 24210,EACH,WILLWARE,0,0,S,O,,,0,0,0,0
9000007,,,,,HIRE,HKE Engineering P/L Temporary Fence Brace Bars,EACH,HKEENG,1135,1135,S,O,,,0,1135,0,0
9000008,,,,RS,RSSZ,HKE Engineering Bi Pod Legs Single,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000009,,,,RS,RDEL,Robot Trading CO Pty Ltd Rolpanel Classic Cream 40mm 1.83metres,EACH,,0,0,R,,,,0,0,0,0
9000010,,,,RS,RDEL,Robot Trading CO Pty Ltd Tecs Brackets 35mm Diameter,EACH,,0,0,R,,,,0,0,0,0
9000011,,,,RS,RDEL,Robot Trading CO Pty Ltd Tec Screws 10gm x16mm Box 1000 Classic Cream,EACH,,0,0,R,,,,0,0,0,0
9000012,,,,,HIRE,Flinstoned Concrete Products Concrete Blocks For Temp Fencing,EACH,RSEA,4443,4443,S,O,,,0,4443,0,0
9000013,,,,RS,HSUN,Smorgon Steel Chainwire 60x2.50 SG KK 20000x1800mm CCSK2018,ROLL,,50,50,R,C,,,0,50,0,0
9000014,,,,RS,HSUN,Smorgan Steel Nipper Knipex End Cutting 275mm NIPP11,EACH,,2,2,R,C,,,0,2,0,0
9000015,,,,RS,HSUN,Smorgon Steel Twisting Tool Long Handle TWSTLN,EACH,,1,1,R,C,,,0,1,0,0
9000016,,,,RS,HSUN,Smorgon Steel Nippers Crescent End Cutting 200mm NIPP200,EACH,SMOARC,1,1,S,O,,,0,1,0,0
9000017,,,,RS,RBSA,Whites Wires Rod Tie 150mm Galvanised 2000 24203,EACH,WILLWARE,0,0,S,O,,9312261242039,0,0,0,0
9000018,,,,RS,RBSA,DO NOT USE Steel Post Lifter 12200,EACH,,0,0,X,O,,740005,0,0,0,0
9000019,,,,WP,WHSZ,HKE Engineering Container Access Ramp,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000020,,,,RS,RBEZ,HKE Engineering Labour temp fencing Labour per panel,EACH,,0,0,L,,,,0,0,0,0
9000021,,,,WP,WHSZ,HKE Engineering Forklift Slippers,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000022,,,,RS,RSSZ,HKE Engineering Multi Message Frame Black,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000023,,,,RS,RBCO,HKE Engineering Expandable Barrier 1.8m Yellow Lockable Castor Per Metre Cost,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000024,,,,RS,RBCO,HKE Engineering Steel Guard Rail Yellow 730x500mm CUSTOM,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000025,,,,RS,RBAZ,HKE Engineering Custom Hand Rail Large 2 Sided Yellow,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000026,,,,RS,RBAZ,HKE Engineering Custom Hand Rail Angle Iron Footplate Yellow,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000027,,,,RS,RBAZ,HKE Engineering Custom Hand Rail Single Frame Yellow,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000028,,,,RS,RBAZ,HKE Engineering Custom Hand Rail Double Frame Yellow,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000029,,,,RS,RBAZ,HKE Engineering Custom Hand Rail Motor Stand Yellow,EACH,HKEENG,0,0,S,O,,,0,0,0,0
900003,,,,WW,CMAS,***NLA*** Telas Bamboo Socks Extra Thick Black  TBS01 4-6,EACH,BAMTEX,0,0,S,I,,9336179019804,0,0,0,0
9000030,,,,RS,RBAZ,HK Engineering Post for barrier mesh fence yellow 1.8m high,EACH,HKEENG,0,0,S,O,,,0,0,0,0
9000031,,,,RS,HSUN,Smorgan Steel Wire Mesh Fence Panel 2.4x1.725m WG3NSV-05,EACH,SMOARC,1600,1600,S,O,,,0,1600,0,0
9000032,,,,WP,WCCL,HKE Engineering Custom Gas Cylinder Cage For Spotlight,EACH,HKEENG,0,0,S,O,,,0,0,0,0
