Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
30-733__,,,,PP,PGMZ,Double Dipped Nitrile Gloves,EACH,PIP,0,0,Z,A,U,,0,0,0,0
30-733__GRPP000L,,,,PP,PGMZ,Double Dipped Nitrile Gloves Green Purple Large,EACH,PIP,72,72,S,A,U,,0,72,0,0
30-733__GRPP000M,,,,PP,PGMZ,Double Dipped Nitrile Gloves Green Purple Medium,EACH,PIP,10,10,S,A,U,4895171728800,0,10,0,0
30-733__GRPP000S,,,,PP,PGMZ,Double Dipped Nitrile Gloves Green Purple Small,EACH,PIP,0,0,S,A,U,9332881140591,0,0,0,0
30-733__GRPP00XL,,,,PP,PGMZ,Double Dipped Nitrile Gloves Green Purple XL,EACH,PIP,62,62,S,A,U,,0,62,0,0
30-733__GRPP02XL,,,,PP,PGMZ,Double Dipped Nitrile Gloves Green Purple 2XL,EACH,PIP,52,52,S,A,U,,0,52,0,0
300,,,,WW,CEZZ,Embroidery Charge Climb 1 NY/OR Logo On LHB 45x119,EACH,,0,0,L,,,,0,0,0,0
3000,,,,WW,CMAO,Caps Plus Cabin Sports Bag BA101,EACH,CAPSPLUS,0,0,S,O,,,0,0,0,0
30000,,,,WW,CEZZ,All Designs Logos & Lettering on Caps,EACH,,0,0,X,,,ZZDELETED,0,0,0,0
300000,,,,PP,PBUS,***NLA*** Jackson Agencies Sunscreen Ultra Protect UPF30+ 13.9gm Stick UPST13,EACH,JACKSON,2,2,S,O,,9325603000273,0,2,0,0
300000Z_,,,,PP,PBDC,Coveralls Combat Poly Pk 50,EACH,STEELDRILL,0,0,Z,A,U,,0,0,0,0
300000Z_ZVY4000L,,,,PP,PBDC,Coveralls Combat Poly Pk 50 Visy Blue Large,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000Z_ZVY4000M,,,,PP,PBDC,Coveralls Combat Poly Pk 50 Visy Blue Medium,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000Z_ZVY4000S,,,,PP,PBDC,Coveralls Combat Poly Pk 50 Visy Blue Small,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000Z_ZVY400XL,,,,PP,PBDC,Coveralls Combat Poly Pk 50 Visy Blue XL,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000Z_ZVY402XL,,,,PP,PBDC,Coveralls Combat Poly Pk 50 Visy Blue 2XL,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000Z_ZVY403XL,,,,PP,PBDC,Coveralls Combat Poly Pk 50 Visy Blue 3XL,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000Z_ZVY404XL,,,,PP,PBDC,Coveralls Combat Poly Pk 50 Visy Blue 4XL,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000__,,,,PP,PBDC,Coverall Disposable Polyprop,EACH,STEELDRILL,0,0,Z,,U,,0,0,0,0
300000__NAVY000L,,,,PP,PBDC,Coverall Disposable Polyprop Navy Large,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000__NAVY000M,,,,PP,PBDC,Coverall Disposable Polyprop Navy Medium,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000__NAVY000S,,,,PP,PBDC,Coverall Disposable Polyprop Navy Small,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000__NAVY00XL,,,,PP,PBDC,Coverall Disposable Polyprop Navy XL,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000__NAVY02XL,,,,PP,PBDC,Coverall Disposable Polyprop Navy 2XL,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300000__NAVY03XL,,,,PP,PBDC,Coverall Disposable Polyprop Navy 3XL,EACH,STEELDRILL,0,0,S,A,U,,0,0,0,0
300001,,,,PP,PBUS,***NLA***Jackson UPF30+ Sunscreen Ultra Protect 100gm Tube UP30100,EACH,JACKSON,5,5,S,O,,9325603000013,0,5,0,0
300002,,,,PP,PBUS,***NLA***Jackson UPF30+ Sunscreen Ultra Protect 250ml Fliptop UP30250,EACH,JACKSON,2,2,S,O,,9325603000020,0,2,0,0
300003,,,,PP,PBUS,***NLA*** Jackson Agencies Sunscreen Ultra Protect UPF30+ 500ml Pump UP30500P,EACH,JACKSON,5,5,S,O,,9325603000129,0,5,0,0
300004,,,,PP,PBUS,***NLA*** Jackson Agencies Sunscreen Ultra Protect UPF30+ 1Litre Pump UP301LP,EACH,JACKSON,6,6,S,O,,9325603000037,0,6,0,0
