4031101603391,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
W20128__BLCK115U,,,,WW,FMLS,Boot Safety Rigger Romeo CM Black 11.5 US,EACH,WOLVERINE,0,0,S,I,U,
W20128__BLCK11US,,,,WW,FMLS,Boot Safety Rigger Romeo CM Black 11 US,EACH,WOLVERINE,53,53,S,C,U,
W20128__BLCK12US,,,,WW,FMLS,Boot Safety Rigger Romeo CM Black 12 US,EACH,WOLVERINE,33,33,S,C,U,
W20128__BLCK13US,,,,WW,FMLS,Boot Safety Rigger Romeo CM Black 13 US,EACH,WOLVERINE,57,57,S,C,U,
W20128__WHAT075U,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 7.5 US,EACH,WOLVERINE,0,0,S,I,U,
W20128__WHAT07US,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 7 US,EACH,WOLVERINE,26,26,S,C,U,
W20128__WHAT085U,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 8.5 US,EACH,WOLVERINE,0,0,S,I,U,
W20128__WHAT08US,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 8 US,EACH,WOLVERINE,0,0,S,O,U,
W20128__WHAT095U,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 9.5 US,EACH,WOLVERINE,0,0,S,I,U,
W20128__WHAT09US,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 9 US,EACH,WOLVERINE,22,22,S,C,U,
W20128__WHAT105U,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 10.5 US,EACH,WOLVERINE,0,0,S,I,U,
W20128__WHAT10US,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 10 US,EACH,WOLVERINE,58,58,S,C,U,
W20128__WHAT115U,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 11.5 US,EACH,WOLVERINE,0,0,S,I,U,
W20128__WHAT11US,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 11 US,EACH,WOLVERINE,152,152,S,C,U,
W20128__WHAT12US,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 12 US,EACH,WOLVERINE,56,56,S,C,U,
W20128__WHAT13US,,,,WW,FMLS,Boot Safety Rigger Romeo CM Wheat 13 US,EACH,WOLVERINE,110,110,S,C,U,
W2025___,,,,WW,CMSL,Shirt L/S HiVis Taped lightw.,EACH,WORKIT,0,0,Z,A,U,
W2025___ORGE000L,,,,WW,CMSL,Shirt L/S HiVis Taped lightw. Orange Large,EACH,WORKIT,0,0,S,A,U,
W2025___ORGE000M,,,,WW,CMSL,Shirt L/S HiVis Taped lightw. Orange Medium,EACH,WORKIT,0,0,S,A,U,
W2025___ORGE000S,,,,WW,CMSL,Shirt L/S HiVis Taped lightw. Orange Small,EACH,WORKIT,0,0,S,A,U,
W2025___ORGE00XL,,,,WW,CMSL,Shirt L/S HiVis Taped lightw. Orange XL,EACH,WORKIT,0,0,S,A,U,
W2025___ORGE00XS,,,,WW,CMSL,Shirt L/S HiVis Taped lightw. Orange XS,EACH,WORKIT,0,0,S,A,U,
W2025___ORGE02XL,,,,WW,CMSL,Shirt L/S HiVis Taped lightw. Orange 2XL,EACH,WORKIT,0,0,S,A,U,
W2025___ORGE03XL,,,,WW,CMSL,Shirt L/S HiVis Taped lightw. Orange 3XL,EACH,WORKIT,0,0,S,A,U,
W2025___ORGE04XL,,,,WW,CMSL,Shirt L/S HiVis Taped lightw. Orange 4XL,EACH,WORKIT,0,0,S,A,U,
W2025___ORGE05XL,,,,WW,CMSL,Shirt L/S HiVis Taped lightw. Orange 5XL,EACH,WORKIT,0,0,S,A,U,
W2025___ORGE06XL,,,,WW,CMSL,Shirt L/S HiVis Taped lightw. Orange 6XL,EACH,WORKIT,0,0,S,A,U,
W2091005,,,,WW,FMLS,Kick Start,EACH,WOLVERINE,0,0,Z,I,U,W2091005
W2091005WHAT07_0,,,,WW,FMLS,Kick Start Wheat 7,EACH,WOLVERINE,0,0,S,I,U,195017842337
W2091005WHAT07_5,,,,WW,FMLS,Kick Start Wheat 7.5,EACH,WOLVERINE,0,0,S,I,U,195017842344
W2091005WHAT08_0,,,,WW,FMLS,Kick Start Wheat 8,EACH,WOLVERINE,0,0,S,I,U,195017842351
W2091005WHAT08_5,,,,WW,FMLS,Kick Start Wheat 8.5,EACH,WOLVERINE,0,0,S,I,U,195017842368
W2091005WHAT09_0,,,,WW,FMLS,Kick Start Wheat 9,EACH,WOLVERINE,0,0,S,I,U,195017842375
W2091005WHAT09_5,,,,WW,FMLS,Kick Start Wheat 9.5,EACH,WOLVERINE,0,0,S,I,U,195017842382
W2091005WHAT10_0,,,,WW,FMLS,Kick Start Wheat 10,EACH,WOLVERINE,0,0,S,I,U,195017842399
W2091005WHAT10_5,,,,WW,FMLS,Kick Start Wheat 10.5,EACH,WOLVERINE,0,0,S,I,U,195017842405
W2091005WHAT11_0,,,,WW,FMLS,Kick Start Wheat 11,EACH,WOLVERINE,0,0,S,I,U,195017842412
W2091005WHAT11_5,,,,WW,FMLS,Kick Start Wheat 11.5,EACH,WOLVERINE,0,0,S,I,U,195017842429
W2091005WHAT12_0,,,,WW,FMLS,Kick Start Wheat 12,EACH,WOLVERINE,0,0,S,I,U,195017842436
W2091005WHAT13_0,,,,WW,FMLS,Kick Start Wheat 13,EACH,WOLVERINE,0,0,S,I,U,195017842443
W2091006,,,,WW,FMLS,Kick Start,EACH,WOLVERINE,0,0,Z,I,U,W2091006
W2091006BLCK07_0,,,,WW,FMLS,Kick Start Black 7,EACH,WOLVERINE,0,0,S,I,U,195017842580
W2091006BLCK07_5,,,,WW,FMLS,Kick Start Black 7.5,EACH,WOLVERINE,0,0,S,I,U,195017842597
W2091006BLCK08_0,,,,WW,FMLS,Kick Start Black 8,EACH,WOLVERINE,0,0,S,I,U,195017842603
W2091006BLCK08_5,,,,WW,FMLS,Kick Start Black 8.5,EACH,WOLVERINE,0,0,S,I,U,195017842610
W2091006BLCK09_0,,,,WW,FMLS,Kick Start Black 9,EACH,WOLVERINE,0,0,S,I,U,195017842627
W2091006BLCK09_5,,,,WW,FMLS,Kick Start Black 9.5,EACH,WOLVERINE,0,0,S,I,U,195017842634
W2091006BLCK10_0,,,,WW,FMLS,Kick Start Black 10,EACH,WOLVERINE,0,0,S,I,U,195017842641
W2091006BLCK10_5,,,,WW,FMLS,Kick Start Black 10.5,EACH,WOLVERINE,0,0,S,I,U,195017842658
W2091006BLCK11_0,,,,WW,FMLS,Kick Start Black 11,EACH,WOLVERINE,0,0,S,I,U,195017842665
W2091006BLCK11_5,,,,WW,FMLS,Kick Start Black 11.5,EACH,WOLVERINE,0,0,S,I,U,195017842672
W2091006BLCK12_0,,,,WW,FMLS,Kick Start Black 12,EACH,WOLVERINE,0,0,S,I,U,195017842689
W2091006BLCK13_0,,,,WW,FMLS,Kick Start Black 13,EACH,WOLVERINE,0,0,S,I,U,195017842696
W2091007,,,,WW,FMLS,Kick Start,EACH,WOLVERINE,0,0,Z,I,U,W2091007
W2091007CHGY07_0,,,,WW,FMLS,Kick Start Charcoal Grey 7,EACH,WOLVERINE,0,0,S,I,U,195017842832
W2091007CHGY07_5,,,,WW,FMLS,Kick Start Charcoal Grey 7.5,EACH,WOLVERINE,0,0,S,I,U,195017842849
W2091007CHGY08_0,,,,WW,FMLS,Kick Start Charcoal Grey 8,EACH,WOLVERINE,0,0,S,I,U,195017842856
W2091007CHGY08_5,,,,WW,FMLS,Kick Start Charcoal Grey 8.5,EACH,WOLVERINE,0,0,S,I,U,195017842863
W2091007CHGY09_0,,,,WW,FMLS,Kick Start Charcoal Grey 9,EACH,WOLVERINE,0,0,S,I,U,195017842870
W2091007CHGY09_5,,,,WW,FMLS,Kick Start Charcoal Grey 9.5,EACH,WOLVERINE,0,0,S,I,U,195017842887
W2091007CHGY10_0,,,,WW,FMLS,Kick Start Charcoal Grey 10,EACH,WOLVERINE,0,0,S,I,U,195017842894
W2091007CHGY10_5,,,,WW,FMLS,Kick Start Charcoal Grey 10.5,EACH,WOLVERINE,0,0,S,I,U,195017842900
W2091007CHGY11_0,,,,WW,FMLS,Kick Start Charcoal Grey 11,EACH,WOLVERINE,0,0,S,I,U,195017842917
W2091007CHGY11_5,,,,WW,FMLS,Kick Start Charcoal Grey 11.5,EACH,WOLVERINE,0,0,S,I,U,195017842924
W2091007CHGY12_0,,,,WW,FMLS,Kick Start Charcoal Grey 12,EACH,WOLVERINE,0,0,S,I,U,195017842931
W2091007CHGY13_0,,,,WW,FMLS,Kick Start Charcoal Grey 13,EACH,WOLVERINE,0,0,S,I,U,195017842948
W2191001,,,,WW,FMSS,Bolt Durashocks,EACH,WOLVERINE,0,0,Z,A,U,
W2191001BLCK07_0,,,,WW,FMSS,Bolt Durashocks Black 7,EACH,WOLVERINE,175,174,S,A,U,195017064418
W2191001BLCK07_5,,,,WW,FMSS,Bolt Durashocks Black 7.5,EACH,WOLVERINE,0,0,S,I,U,195017064425
W2191001BLCK08_0,,,,WW,FMSS,Bolt Durashocks Black 8,EACH,WOLVERINE,234,233,S,A,U,195017064432
W2191001BLCK08_5,,,,WW,FMSS,Bolt Durashocks Black 8.5,EACH,WOLVERINE,0,0,S,I,U,195017064449
W2191001BLCK09_0,,,,WW,FMSS,Bolt Durashocks Black 9,EACH,WOLVERINE,235,210,S,A,U,195017064456
W2191001BLCK09_5,,,,WW,FMSS,Bolt Durashocks Black 9.5,EACH,WOLVERINE,0,0,S,I,U,195017064463
W2191001BLCK10_0,,,,WW,FMSS,Bolt Durashocks Black 10,EACH,WOLVERINE,776,755,S,A,U,195017064470
W2191001BLCK10_5,,,,WW,FMSS,Bolt Durashocks Black 10.5,EACH,WOLVERINE,0,0,S,I,U,195017064487
W2191001BLCK11_0,,,,WW,FMSS,Bolt Durashocks Black 11,EACH,WOLVERINE,483,472,S,A,U,195017064494
W2191001BLCK11_5,,,,WW,FMSS,Bolt Durashocks Black 11.5,EACH,WOLVERINE,0,0,S,I,U,195017064500
W2191001BLCK12_0,,,,WW,FMSS,Bolt Durashocks Black 12,EACH,WOLVERINE,173,167,S,A,U,195017064517
W2191001BLCK13_0,,,,WW,FMSS,Bolt Durashocks Black 13,EACH,WOLVERINE,76,75,S,A,U,195017064524
W2191001STGR07_0,,,,WW,FMSS,Bolt Durashocks Steel Grey 7,EACH,WOLVERINE,222,220,S,C,U,195017064531
W2191001STGR07_5,,,,WW,FMSS,Bolt Durashocks Steel Grey 7.5,EACH,WOLVERINE,0,0,S,I,U,195017064548
W2191001STGR08_0,,,,WW,FMSS,Bolt Durashocks Steel Grey 8,EACH,WOLVERINE,257,250,S,C,U,195017064555
W2191001STGR08_5,,,,WW,FMSS,Bolt Durashocks Steel Grey 8.5,EACH,WOLVERINE,0,0,S,I,U,195017064562
W2191001STGR09_0,,,,WW,FMSS,Bolt Durashocks Steel Grey 9,EACH,WOLVERINE,944,936,S,C,U,195017064579
W2191001STGR09_5,,,,WW,FMSS,Bolt Durashocks Steel Grey 9.5,EACH,WOLVERINE,0,0,S,I,U,195017064586
W2191001STGR10_0,,,,WW,FMSS,Bolt Durashocks Steel Grey 10,EACH,WOLVERINE,"1,000",994,S,C,U,195017064593
W2191001STGR10_5,,,,WW,FMSS,Bolt Durashocks Steel Grey 10.5,EACH,WOLVERINE,0,0,S,I,U,195017064609
W2191001STGR11_0,,,,WW,FMSS,Bolt Durashocks Steel Grey 11,EACH,WOLVERINE,618,613,S,C,U,195017064616
W2191001STGR11_5,,,,WW,FMSS,Bolt Durashocks Steel Grey 11.5,EACH,WOLVERINE,0,0,S,I,U,195017064623
W2191001STGR12_0,,,,WW,FMSS,Bolt Durashocks Steel Grey 12,EACH,WOLVERINE,308,305,S,C,U,195017064630
W2191001STGR13_0,,,,WW,FMSS,Bolt Durashocks Steel Grey 13,EACH,WOLVERINE,214,211,S,C,U,195017064647
W219100_,,,,WW,FMSS,Grayson Waterproof ZipSideBoot,EACH,WOLVERINE,0,0,Z,A,U,
W219100_BLCK07_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 7,EACH,WOLVERINE,174,168,S,A,U,195017064654
W219100_BLCK07_5,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 7.5,EACH,WOLVERINE,0,0,S,I,U,195017064661
W219100_BLCK08_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 8,EACH,WOLVERINE,85,82,S,A,U,195017064678
W219100_BLCK08_5,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 8.5,EACH,WOLVERINE,0,0,S,I,U,195017064685
W219100_BLCK09_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 9,EACH,WOLVERINE,557,546,S,A,U,195017064692
W219100_BLCK09_5,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 9.5,EACH,WOLVERINE,0,0,S,I,U,195017064708
W219100_BLCK10_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 10,EACH,WOLVERINE,694,675,S,A,U,195017064715
W219100_BLCK10_5,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 10.5,EACH,WOLVERINE,0,0,S,I,U,195017064722
W219100_BLCK11_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 11,EACH,WOLVERINE,646,630,S,A,U,195017064739
W219100_BLCK11_5,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 11.5,EACH,WOLVERINE,0,0,S,I,U,195017064746
W219100_BLCK12_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 12,EACH,WOLVERINE,305,294,S,A,U,195017064753
W219100_BLCK13_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Black 13,EACH,WOLVERINE,189,178,S,A,U,195017064760
W219100_WHAT07_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 7,EACH,WOLVERINE,228,222,S,A,U,195017064777
W219100_WHAT07_5,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 7.5,EACH,WOLVERINE,0,0,S,I,U,195017064784
W219100_WHAT08_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 8,EACH,WOLVERINE,161,156,S,A,U,195017064791
W219100_WHAT08_5,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 8.5,EACH,WOLVERINE,0,0,S,I,U,195017064807
W219100_WHAT09_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 9,EACH,WOLVERINE,332,317,S,A,U,195017064814
W219100_WHAT09_5,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 9.5,EACH,WOLVERINE,0,0,S,I,U,195017064821
W219100_WHAT10_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 10,EACH,WOLVERINE,810,799,S,A,U,195017064838
W219100_WHAT10_5,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 10.5,EACH,WOLVERINE,0,0,S,I,U,195017064845
W219100_WHAT11_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 11,EACH,WOLVERINE,544,537,S,A,U,195017064852
W219100_WHAT11_5,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 11.5,EACH,WOLVERINE,0,0,S,I,U,195017064869
W219100_WHAT12_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 12,EACH,WOLVERINE,268,261,S,A,U,195017064876
W219100_WHAT13_0,,,,WW,FMSS,Grayson Waterproof ZipSideBoot Wheat 13,EACH,WOLVERINE,117,115,S,A,U,195017064883
W2191___,,,,WW,FMSS,Shiftplus Zip CM Mid,EACH,WOLVERINE,0,0,Z,A,U,
W2191___BLCK075U,,,,WW,FMSS,Shiftplus Zip CM Mid Black 7.5 US,EACH,WOLVERINE,0,0,S,I,U,195018369680
