Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN,On Order,Avail. + On Order,PO In Transit,Total In Transit
80-100__,,,,PP,PGCO,Glove Powerflex SeamlessDipped,EACH,ANSELL,0,0,Z,T,U,,0,0,0,0
80-100__GRYE0007,,,,PP,PGCO,Glove Powerflex SeamlessDipped Green Yellow 7,EACH,ANSELL,0,0,S,T,U,,0,0,0,0
80-100__GRYE0008,,,,PP,PGCO,Glove Powerflex SeamlessDipped Green Yellow 8,EACH,ANSELL,0,0,S,T,U,,0,0,0,0
80-100__GRYE0009,,,,PP,PGCO,Glove Powerflex SeamlessDipped Green Yellow 9,EACH,ANSELL,0,0,S,T,U,,0,0,0,0
80-100__GRYE0010,,,,PP,PGCO,Glove Powerflex SeamlessDipped Green Yellow 10,EACH,ANSELL,0,0,S,T,U,,0,0,0,0
80-400__,,,,PP,PGYO,Glove Powerflex Acrylic Liner,EACH,ANSELL,0,0,Z,A,U,,0,0,0,0
80-400__BLYE0008,,,,PP,PGYO,Glove Powerflex Acrylic Liner Blue Yellow 8,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-400__BLYE0009,,,,PP,PGYO,Glove Powerflex Acrylic Liner Blue Yellow 9,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-400__BLYE0010,,,,PP,PGYO,Glove Powerflex Acrylic Liner Blue Yellow 10,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-409__,,,,PP,PGYF,Glove Thermal Powerflex,EACH,ANSELL,0,0,Z,A,U,,0,0,0,0
80-409__BLWH0008,,,,PP,PGYF,Glove Thermal Powerflex Blue White 8,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-409__BLWH0009,,,,PP,PGYF,Glove Thermal Powerflex Blue White 9,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-409__BLWH0010,,,,PP,PGYF,Glove Thermal Powerflex Blue White 10,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-600Z_,,,,PP,PGKL,Powerflex Kevler Liner Latex,EACH,ANSELL,0,0,Z,A,U,,0,0,0,0
80-600Z_ZKA10007,,,,PP,PGKL,Powerflex Kevler Liner Latex Kane Constructions Yellow 7,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-600Z_ZKA10008,,,,PP,PGKL,Powerflex Kevler Liner Latex Kane Constructions Yellow 8,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-600Z_ZKA10009,,,,PP,PGKL,Powerflex Kevler Liner Latex Kane Constructions Yellow 9,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-600Z_ZKA10010,,,,PP,PGKL,Powerflex Kevler Liner Latex Kane Constructions Yellow 10,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-600Z_ZKA10011,,,,PP,PGKL,Powerflex Kevler Liner Latex Kane Constructions Yellow 11,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-600__,,,,PP,PGKL,Powerflex Kevler Liner Latex,EACH,ANSELL,0,0,Z,A,U,,0,0,0,0
80-600__YEOW000L,,,,PP,PGKL,Powerflex Kevler Liner Latex Yellow Large,EACH,ANSELL,5,5,S,A,U,,0,5,0,0
80-600__YEOW000M,,,,PP,PGKL,Powerflex Kevler Liner Latex Yellow Medium,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-600__YEOW000S,,,,PP,PGKL,Powerflex Kevler Liner Latex Yellow Small,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-600__YEOW00XL,,,,PP,PGKL,Powerflex Kevler Liner Latex Yellow XL,EACH,ANSELL,9,9,S,A,U,,0,9,0,0
80-600__YEOW02XL,,,,PP,PGKL,Powerflex Kevler Liner Latex Yellow 2XL,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-602__,,,,PP,PGKL,Glove Powerflex Kevlar LatexCt,EACH,ANSELL,0,0,Z,O,U,,0,0,0,0
80-602__BLYE0007,,,,PP,PGKL,Glove Powerflex Kevlar LatexCt Blue Yellow 7,EACH,ANSELL,0,0,S,O,U,,0,0,0,0
80-602__BLYE0008,,,,PP,PGKL,Glove Powerflex Kevlar LatexCt Blue Yellow 8,EACH,ANSELL,0,0,S,O,U,,0,0,0,0
80-602__BLYE0009,,,,PP,PGKL,Glove Powerflex Kevlar LatexCt Blue Yellow 9,EACH,ANSELL,0,0,S,C,U,,0,0,0,0
80-602__BLYE0010,,,,PP,PGKL,Glove Powerflex Kevlar LatexCt Blue Yellow 10,EACH,ANSELL,39,39,S,C,U,,0,39,0,0
80-602__BLYE0011,,,,PP,PGKL,Glove Powerflex Kevlar LatexCt Blue Yellow 11,EACH,ANSELL,0,0,S,O,U,,0,0,0,0
80-658__,,,,PP,PGKK,Glove Powerflex Cut Res Level5,EACH,ANSELL,0,0,Z,A,U,,0,0,0,0
80-658__BLGY0007,,,,PP,PGKK,Glove Powerflex Cut Res Level5 Blue Grey 7,EACH,ANSELL,0,0,S,T,U,,0,0,0,0
80-658__BLGY0008,,,,PP,PGKK,Glove Powerflex Cut Res Level5 Blue Grey 8,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-658__BLGY0009,,,,PP,PGKK,Glove Powerflex Cut Res Level5 Blue Grey 9,EACH,ANSELL,17,17,S,A,U,,0,17,0,0
80-658__BLGY0010,,,,PP,PGKK,Glove Powerflex Cut Res Level5 Blue Grey 10,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-658__BLGY0011,,,,PP,PGKK,Glove Powerflex Cut Res Level5 Blue Grey 11,EACH,ANSELL,0,0,S,A,U,,0,0,0,0
80-813Z_,,,,PP,PGXO,Powerflex Fras Gloves,PR,ANSELL,0,0,Z,A,U,,0,0,0,0
80-813Z_GYCV0007,,,,PP,PGXO,Powerflex Fras Gloves Grey Civmec 7,PR,ANSELL,0,0,S,A,U,,0,0,0,0
80-813Z_GYCV0008,,,,PP,PGXO,Powerflex Fras Gloves Grey Civmec 8,PR,ANSELL,0,0,S,A,U,,0,0,0,0
80-813Z_GYCV0009,,,,PP,PGXO,Powerflex Fras Gloves Grey Civmec 9,PR,ANSELL,0,0,S,A,U,,0,0,0,0
80-813Z_GYCV0010,,,,PP,PGXO,Powerflex Fras Gloves Grey Civmec 10,PR,ANSELL,0,0,S,A,U,,0,0,0,0
80-813Z_GYCV0011,,,,PP,PGXO,Powerflex Fras Gloves Grey Civmec 11,PR,ANSELL,0,0,S,A,U,,0,0,0,0
80-813Z_GYKC0007,,,,PP,PGXO,Powerflex Fras Gloves Grey Kane Construction 7,PR,ANSELL,0,0,S,A,U,,0,0,0,0
80-813Z_GYKC0008,,,,PP,PGXO,Powerflex Fras Gloves Grey Kane Construction 8,PR,ANSELL,0,0,S,A,U,,0,0,0,0
