Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
HF1609__,,,,WW,CMJO,Water Resistant Puffer Jacket,EACH,HMRFLD,0,0,Z,N,U,HF1609
HF1609__BLCK000L,,,,WW,CMJO,Water Resistant Puffer Jacket Black Large,EACH,HMRFLD,0,0,S,N,U,9336179240994
HF1609__BLCK000M,,,,WW,CMJO,Water Resistant Puffer Jacket Black Medium,EACH,HMRFLD,0,0,S,N,U,9336179241014
HF1609__BLCK000S,,,,WW,CMJO,Water Resistant Puffer Jacket Black Small,EACH,HMRFLD,0,0,S,N,U,9336179241038
HF1609__BLCK00XL,,,,WW,CMJO,Water Resistant Puffer Jacket Black XL,EACH,HMRFLD,0,0,S,N,U,9336179241069
HF1609__BLCK02XL,,,,WW,CMJO,Water Resistant Puffer Jacket Black 2XL,EACH,HMRFLD,0,0,S,N,U,9336179241083
HF1609__BLCK03XL,,,,WW,CMJO,Water Resistant Puffer Jacket Black 3XL,EACH,HMRFLD,0,0,S,N,U,9336179241106
HF3901__,,,,WW,CMHZ,Workwear Canvas Cap,EACH,HMRFLD,0,0,Z,A,U,HF3901
HF3901__CONCOSFA,,,,WW,CMHZ,Workwear Canvas Cap Concrete One Size Fits All,EACH,HMRFLD,778,776,S,A,U,9336179193511
HF3901__MIDNOSFA,,,,WW,CMHZ,Workwear Canvas Cap Midnight One Size Fits All,EACH,HMRFLD,1441,1414,S,A,U,9336179172493
HF3901__SEGROSFA,,,,WW,CMHZ,Workwear Canvas Cap Stone Green One Size Fits All,EACH,HMRFLD,1345,1319,S,A,U,9336179193535
HF3901__TAN_OSFA,,,,WW,CMHZ,Workwear Canvas Cap Tan One Size Fits All,EACH,HMRFLD,1308,1292,S,C,U,9336179172516
HF3901__VINAOSFA,,,,WW,CMHZ,Workwear Canvas Cap Vintage Navy One Size Fits All,EACH,HMRFLD,874,870,S,C,U,9336179193559
HF3901__WHATOSFA,,,,WW,CMHZ,Workwear Canvas Cap Wheat One Size Fits All,EACH,HMRFLD,795,788,S,A,U,9336179193573
HF3902__,,,,WW,CMHZ,Marle Ribbed Beanie,EACH,HMRFLD,0,0,Z,A,U,HF3902
HF3902__BKCHOSFA,,,,WW,CMHZ,Marle Ribbed Beanie Black Charcoal One Size Fits All,EACH,HMRFLD,223,214,S,A,U,9336179172004
HF3902__BKMLOSFA,,,,WW,CMHZ,Marle Ribbed Beanie Black Marle One Size Fits All,EACH,HMRFLD,1656,1635,S,A,U,9336179204583
HF3902__GYMAOSFA,,,,WW,CMHZ,Marle Ribbed Beanie Grey Marle One Size Fits All,EACH,HMRFLD,2062,2048,S,A,U,9336179172011
HF3902__NYMAOSFA,,,,WW,CMHZ,Marle Ribbed Beanie Navy Marle One Size Fits All,EACH,HMRFLD,1352,1284,S,A,U,9336179172028
HF3903__,,,,WW,CMHZ,Ribbed Beanie,EACH,HMRFLD,0,0,Z,A,U,HF3903
HF3903__BLCKOSFA,,,,WW,CMHZ,Ribbed Beanie Black One Size Fits All,EACH,HMRFLD,3254,3148,S,A,U,9336179172066
HF3903__BRCKOSFA,,,,WW,CMHZ,Ribbed Beanie Brick One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179172073
HF3903__BUOROSFA,,,,WW,CMHZ,Ribbed Beanie Burnt Orange One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179172080
HF3903__CONCOSFA,,,,WW,CMHZ,Ribbed Beanie Concrete One Size Fits All,EACH,HMRFLD,1409,1364,S,A,U,9336179204606
HF3903__DELIOSFA,,,,WW,CMHZ,Ribbed Beanie Deep Lichen One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179172097
HF3903__DISNOSFA,,,,WW,CMHZ,Ribbed Beanie Dirty Sand One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179172103
HF3903__DUBLOSFA,,,,WW,CMHZ,Ribbed Beanie Dusty Blue One Size Fits All,EACH,HMRFLD,351,348,S,A,U,9336179172110
HF3903__GUNMOSFA,,,,WW,CMHZ,Ribbed Beanie Gunmetal One Size Fits All,EACH,HMRFLD,0,0,S,N,U,9336179240710
HF3903__OATMOSFA,,,,WW,CMHZ,Ribbed Beanie Oatmeal One Size Fits All,EACH,HMRFLD,0,0,S,N,U,9336179240734
HF3903__WHATOSFA,,,,WW,CMHZ,Ribbed Beanie Wheat One Size Fits All,EACH,HMRFLD,1532,1488,S,A,U,9336179204620
HF3905__,,,,WW,CMHZ,Bucket Hat Cotton Twill,EACH,HMRFLD,0,0,Z,A,U,
HF3905__CHALOSFA,,,,WW,CMHZ,Bucket Hat Cotton Twill Charcoal One Size Fits All,EACH,HMRFLD,1692,1595,S,A,U,9336179181099
HF3905__TAN_OSFA,,,,WW,CMHZ,Bucket Hat Cotton Twill Tan One Size Fits All,EACH,HMRFLD,1205,1174,S,A,U,9336179181105
HF3905__WHPEOSFA,,,,WW,CMHZ,Bucket Hat Cotton Twill Washed Petrol One Size Fits All,EACH,HMRFLD,493,483,S,C,U,9336179181112
HF3906__,,,,WW,CMHZ,Cap Cotton Ripstop 5 Panel,EACH,HMRFLD,0,0,Z,I,U,
HF3906__CAKHOSFA,,,,WW,CMHZ,Cap Cotton Ripstop 5 Panel Camo Print One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179181150
HF3906__CHALOSFA,,,,WW,CMHZ,Cap Cotton Ripstop 5 Panel Charcoal One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179181167
HF3906__NAVYOSFA,,,,WW,CMHZ,Cap Cotton Ripstop 5 Panel Navy One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179181174
HF3906__TAN_OSFA,,,,WW,CMHZ,Cap Cotton Ripstop 5 Panel Tan One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179181181
HF3907__,,,,WW,CMHZ,Cap Cotton Twill Peach,EACH,HMRFLD,0,0,Z,C,U,
HF3907__BLCKOSFA,,,,WW,CMHZ,Cap Cotton Twill Peach Black One Size Fits All,EACH,HMRFLD,942,927,S,C,U,9336179196345
HF3907__CHALOSFA,,,,WW,CMHZ,Cap Cotton Twill Peach Charcoal One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179181235
HF3907__MIOLOSFA,,,,WW,CMHZ,Cap Cotton Twill Peach Military Olive One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179181259
HF3907__NAVYOSFA,,,,WW,CMHZ,Cap Cotton Twill Peach Navy One Size Fits All,EACH,HMRFLD,1364,1345,S,C,U,9336179196338
HF3907__TAN_OSFA,,,,WW,CMHZ,Cap Cotton Twill Peach Tan One Size Fits All,EACH,HMRFLD,713,712,S,C,U,9336179181242
HF3908__,,,,WW,CMHZ,Corduroy Cap,EACH,HMRFLD,0,0,Z,A,U,HF3908
HF3908__BLCKOSFA,,,,WW,CMHZ,Corduroy Cap Black One Size Fits All,EACH,HMRFLD,1159,1159,S,A,U,9336179199308
HF3908__GRENOSFA,,,,WW,CMHZ,Corduroy Cap Green One Size Fits All,EACH,HMRFLD,1220,1219,S,A,U,9336179199322
HF3908__KHKIOSFA,,,,WW,CMHZ,Corduroy Cap Khaki One Size Fits All,EACH,HMRFLD,0,0,S,I,U,9336179199346
HF3908__NAVYOSFA,,,,WW,CMHZ,Corduroy Cap Navy One Size Fits All,EACH,HMRFLD,1238,1238,S,A,U,9336179199360
HF3909__,,,,WW,CMHZ,Short Rib Beanie,EACH,HMRFLD,0,0,Z,C,U,
HF3909__BLCKOSFA,,,,WW,CMHZ,Short Rib Beanie Black One Size Fits All,EACH,HMRFLD,0,0,S,I,U,
HF3909__GYMAOSFA,,,,WW,CMHZ,Short Rib Beanie Grey Marle One Size Fits All,EACH,HMRFLD,0,0,S,I,U,
HF3909__NAVYOSFA,,,,WW,CMHZ,Short Rib Beanie Navy One Size Fits All,EACH,HMRFLD,0,0,S,I,U,
HF3910__,,,,WW,CMAO,Workwear Duffle Bag,EACH,HMRFLD,0,0,Z,A,U,
HF3910__MIDNOSFA,,,,WW,CMAO,Workwear Duffle Bag Midnight One Size Fits All,EACH,HMRFLD,908,866,S,A,U,9336179172189
HF3911__,,,,WW,CMAO,Backpack,EACH,HMRFLD,0,0,Z,A,U,HF3911
HF3911__BLCKOSFA,,,,WW,CMAO,Backpack Black One Size Fits All,EACH,HMRFLD,493,493,S,A,U,9336179181297
